image_path,datetime,species_label,probability,station_id
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251104_97.JPEG,2025-11-04 14:06:28,red deer,0.94,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251104_98.JPEG,2025-11-04 14:06:31,red deer,0.99,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251104_99.JPEG,2025-11-04 14:06:33,red deer,0.99,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251104_100.JPEG,2025-11-04 14:06:34,red deer,0.99,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251104_101.JPEG,2025-11-04 14:06:36,red deer,0.99,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251104_102.JPEG,2025-11-04 14:06:38,red deer,0.99,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251111_106.JPEG,2025-11-11 07:47:28,red deer,0.9,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251111_107.JPEG,2025-11-11 07:47:30,red deer,0.92,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251111_108.JPEG,2025-11-11 07:47:32,red deer,0.7,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251111_109.JPEG,2025-11-11 07:47:33,red deer,0.88,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251111_110.JPEG,2025-11-11 07:47:35,red deer,0.52,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251111_111.JPEG,2025-11-11 07:47:37,red deer,0.98,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251112_112.JPEG,2025-11-12 04:49:42,red deer,1.0,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251112_113.JPEG,2025-11-12 04:49:44,red deer,0.99,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251112_114.JPEG,2025-11-12 04:49:47,red deer,0.99,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251112_115.JPEG,2025-11-12 04:49:48,red deer,0.99,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251112_116.JPEG,2025-11-12 04:49:51,red deer,0.99,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251112_117.JPEG,2025-11-12 04:49:53,red deer,0.99,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251112_118.JPEG,2025-11-12 04:49:54,red deer,0.99,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251112_119.JPEG,2025-11-12 04:49:56,red deer,0.99,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251112_120.JPEG,2025-11-12 04:49:59,red deer,0.99,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251112_121.JPEG,2025-11-12 04:50:15,red deer,0.95,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251112_122.JPEG,2025-11-12 04:50:18,red deer,0.99,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251112_123.JPEG,2025-11-12 04:50:20,red deer,0.99,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251112_124.JPEG,2025-11-12 04:50:22,red deer,0.99,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251112_125.JPEG,2025-11-12 04:50:25,red deer,0.99,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251112_126.JPEG,2025-11-12 04:50:27,red deer,0.99,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251112_127.JPEG,2025-11-12 04:50:58,red deer,0.97,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251112_128.JPEG,2025-11-12 04:51:00,red deer,0.99,r0039-dona_0067
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0067/R0039-DONA_0067__20251112_129.JPEG,2025-11-12 04:51:02,red deer,0.99,r0039-dona_0067
